82-Pb-208(n,&gamma;) ENDF/B-VII.1
353302.0,0.00405703
353451.0,0.00448081
353564.0,0.00502969
353638.0,0.00566373
353694.0,0.00645365
353741.0,0.00752635
353779.0,0.0089091
353807.0,0.0105111
353831.0,0.0125797
353851.0,0.0150441
353868.0,0.0180976
353882.0,0.0217083
353895.0,0.0264777
353906.0,0.032267
353916.0,0.0393696
353925.0,0.0485744
353933.0,0.0602798
353940.0,0.0742247
353946.0,0.0919783
353951.0,0.113699
353956.0,0.141424
353961.0,0.17505
353965.0,0.215947
353968.0,0.270086
353972.0,0.346327
353977.0,0.454883
353981.0,0.618165
353993.0,1.05569
353996.0,1.15092
354000.0,1.1865
354004.0,1.151
354009.0,1.01838
354020.0,0.559555
354025.0,0.425488
354029.0,0.327341
354033.0,0.254689
354037.0,0.201769
354041.0,0.163138
